Mã giao dịch,Đại lý,Điểm bán hàng,Thuê bao mua dịch vụ,Thuộc đối tác/chi nhánh,Dịch vụ,Tên gói,Tên kênh,Trạng thái cước,Cờ chốt cước,Trạng thái giao dịch,Thời gian thực hiện giao dịch,Thời gian chốt hoa hồng giao dịch,Loại giao dịch,Giá,Hoa hồng điểm bán,Hoa hồng đại lý
160011861,"IPacking","IPacking_db",84937825662,"TTCNTT",COMBO_TT3,NA90,Bán hàng qua API,OK_NA90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 19:29:38,31/07/2023 19:29:38,Cài đặt,90000,0,29455
160011651,"IPacking","IPacking_db",84908989319,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 19:23:36,31/07/2023 19:23:36,Cài đặt,150000,0,49091
160011229,"IPacking","IPacking_db",84933637673,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 19:12:50,31/07/2023 19:12:50,Cài đặt,150000,0,49091
160010285,"IPacking","IPacking_db",84768418385,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 18:46:45,31/07/2023 18:46:45,Cài đặt,90000,0,29455
160009123,"IPacking","IPacking_db",84768818041,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 18:20:15,31/07/2023 18:20:15,Cài đặt,90000,0,29455
160008907,"IPacking","IPacking_db",84786474344,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 18:14:11,31/07/2023 18:14:11,Cài đặt,70000,0,22909
160008269,"IPacking","IPacking_db",84778015930,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 17:56:52,31/07/2023 17:56:52,Cài đặt,150000,0,49091
160007679,"IPacking","IPacking_db",84903849784,"TTCNTT",COMBO_TT3,12PT90,Bán hàng qua API,OK_12PT90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 17:38:01,31/07/2023 17:38:01,Cài đặt,1080000,0,353455
160007173,"IPacking","IPacking_db",84908244388,"TTCNTT",COMBO_TT3,6KC150,Bán hàng qua API,OK_6KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 17:23:40,31/07/2023 17:23:40,Cài đặt,900000,0,294545
160006699,"IPacking","IPacking_db",84707272717,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 17:12:06,31/07/2023 17:12:06,Cài đặt,90000,0,29455
160006381,"IPacking","IPacking_db",84938367099,"TTCNTT",COMBO_TT3,12PT120,Bán hàng qua API,OK_XPT120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 17:03:58,31/07/2023 17:03:58,Cài đặt,1440000,0,471273
160006051,"IPacking","IPacking_db",84938667236,"TTCNTT",COMBO_TT3,KC120,Bán hàng qua API,OK_KC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 16:55:01,31/07/2023 16:55:01,Cài đặt,120000,0,39273
160005311,"IPacking","IPacking_db",84907340345,"TTCNTT",COMBO_TT3,12PT120,Bán hàng qua API,OK_XPT120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 16:41:16,31/07/2023 16:41:16,Cài đặt,1440000,0,471273
160004663,"IPacking","IPacking_db",84901999153,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 16:22:42,31/07/2023 16:22:42,Cài đặt,90000,0,29455
160004653,"IPacking","IPacking_db",84902709340,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 16:22:33,31/07/2023 16:22:33,Cài đặt,90000,0,29455
160004479,"IPacking","IPacking_db",84908486669,"TTCNTT",COMBO_TT3,12KC120,Bán hàng qua API,OK_XKC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 16:16:16,31/07/2023 16:16:16,Cài đặt,1440000,0,471273
160004093,"IPacking","IPacking_db",84933368679,"TTCNTT",COMBO_TT3,12PT120,Bán hàng qua API,OK_XPT120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 16:04:10,31/07/2023 16:04:10,Cài đặt,1440000,0,471273
160003927,"IPacking","IPacking_db",84931518166,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:58:41,31/07/2023 15:58:41,Cài đặt,70000,0,22909
160003729,"IPacking","IPacking_db",84765363121,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:53:01,31/07/2023 15:53:01,Cài đặt,70000,0,22909
160003653,"IPacking","IPacking_db",84933410119,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:51:19,31/07/2023 15:51:19,Cài đặt,70000,0,22909
160003357,"IPacking","IPacking_db",84938355793,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:42:57,31/07/2023 15:42:57,Cài đặt,90000,0,29455
160003309,"IPacking","IPacking_db",84904356186,"TTCNTT",COMBO_TT3,12KC90,Bán hàng qua API,OK_12KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:41:39,31/07/2023 15:41:39,Cài đặt,1080000,0,0
160003107,"IPacking","IPacking_db",84763637647,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:35:13,31/07/2023 15:35:13,Cài đặt,70000,0,22909
160002907,"IPacking","IPacking_db",84932257272,"TTCNTT",COMBO_TT3,KC120,Bán hàng qua API,OK_KC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:27:34,31/07/2023 15:27:34,Cài đặt,120000,0,39273
160002781,"IPacking","IPacking_db",84902111055,"TTCNTT",COMBO_TT3,12KC90,Bán hàng qua API,OK_12KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:23:58,31/07/2023 15:23:58,Cài đặt,1080000,0,353455
160002469,"IPacking","IPacking_db",84906282350,"TTCNTT",COMBO_TT3,12KC150,Bán hàng qua API,OK_12KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:14:11,31/07/2023 15:14:11,Cài đặt,1800000,0,589091
160002425,"IPacking","IPacking_db",84789493017,"TTCNTT",COMBO_TT3,NA120,Bán hàng qua API,OK_NA120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:12:15,31/07/2023 15:12:15,Cài đặt,120000,0,39273
160002125,"IPacking","IPacking_db",84773036677,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 15:02:44,31/07/2023 15:02:44,Cài đặt,90000,0,29455
160001921,"IPacking","IPacking_db",84937996145,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 14:55:49,31/07/2023 14:55:49,Cài đặt,70000,0,22909
160001869,"IPacking","IPacking_db",84936876868,"TTCNTT",COMBO_TT3,12KC120,Bán hàng qua API,OK_XKC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 14:53:55,31/07/2023 14:53:55,Cài đặt,1440000,0,471273
159999723,"IPacking","IPacking_db",84909938538,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 13:30:25,31/07/2023 13:30:25,Cài đặt,90000,0,29455
159999283,"IPacking","IPacking_db",84899958222,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 13:11:25,31/07/2023 13:11:25,Cài đặt,70000,0,22909
159999129,"IPacking","IPacking_db",84938155190,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 13:04:58,31/07/2023 13:04:58,Cài đặt,90000,0,29455
159998953,"IPacking","IPacking_db",84702745759,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 12:57:19,31/07/2023 12:57:19,Cài đặt,70000,0,22909
159998425,"IPacking","IPacking_db",84939752663,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 12:36:06,31/07/2023 12:36:06,Cài đặt,70000,0,22909
159997417,"IPacking","IPacking_db",84768762837,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 11:59:02,31/07/2023 11:59:02,Cài đặt,70000,0,22909
159996843,"IPacking","IPacking_db",84904668884,"TTCNTT",COMBO_TT3,12KC120,Bán hàng qua API,OK_XKC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 11:40:25,31/07/2023 11:40:25,Cài đặt,1440000,0,471273
159996385,"IPacking","IPacking_db",84909877858,"TTCNTT",COMBO_TT3,12PT70,Bán hàng qua API,OK_12PT70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 11:22:31,31/07/2023 11:22:31,Cài đặt,840000,0,274909
159996175,"IPacking","IPacking_db",84934694868,"TTCNTT",COMBO_TT3,12KC90,Bán hàng qua API,OK_12KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 11:16:29,31/07/2023 11:16:29,Cài đặt,1080000,0,0
159996129,"IPacking","IPacking_db",84935882869,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 11:15:43,31/07/2023 11:15:43,Cài đặt,70000,0,22909
159996035,"IPacking","IPacking_db",84904261969,"TTCNTT",COMBO_TT3,12PT90,Bán hàng qua API,OK_12PT90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 11:11:39,31/07/2023 11:11:39,Cài đặt,1080000,0,353455
159995609,"IPacking","IPacking_db",84792538899,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 10:58:11,31/07/2023 10:58:11,Cài đặt,70000,0,22909
159995143,"IPacking","IPacking_db",84931986669,"TTCNTT",COMBO_TT3,12KC90,Bán hàng qua API,OK_12KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 10:43:16,31/07/2023 10:43:16,Cài đặt,1080000,0,353455
159995099,"IPacking","IPacking_db",84936505505,"TTCNTT",COMBO_TT3,12KC150,Bán hàng qua API,OK_12KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 10:41:52,31/07/2023 10:41:52,Cài đặt,1800000,0,589091
159994479,"IPacking","IPacking_db",84904323732,"TTCNTT",COMBO_TT3,6KC90,Bán hàng qua API,OK_6KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 10:25:14,31/07/2023 10:25:14,Cài đặt,540000,0,0
159994187,"IPacking","IPacking_db",84933378866,"TTCNTT",COMBO_TT3,KC120,Bán hàng qua API,OK_KC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 10:16:35,31/07/2023 10:16:35,Cài đặt,120000,0,39273
159993943,"IPacking","IPacking_db",84904150495,"TTCNTT",COMBO_TT3,12PT120,Bán hàng qua API,OK_XPT120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 10:08:19,31/07/2023 10:08:19,Cài đặt,1440000,0,471273
159993519,"IPacking","IPacking_db",84901643668,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 09:55:19,31/07/2023 09:55:19,Cài đặt,70000,0,22909
159993465,"IPacking","IPacking_db",84903670432,"TTCNTT",COMBO_TT3,6KC150,Bán hàng qua API,OK_6KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 09:54:06,31/07/2023 09:54:06,Cài đặt,900000,0,294545
159992829,"IPacking","IPacking_db",84904536236,"TTCNTT",COMBO_TT3,12KC90,Bán hàng qua API,OK_12KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 09:31:58,31/07/2023 09:31:58,Cài đặt,1080000,0,0
159992103,"IPacking","IPacking_db",84909992964,"TTCNTT",COMBO_TT3,NA90,Bán hàng qua API,OK_NA90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 09:12:13,31/07/2023 09:12:13,Cài đặt,90000,0,29455
159991897,"IPacking","IPacking_db",84909752075,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 09:07:52,31/07/2023 09:07:52,Cài đặt,150000,0,49091
159991067,"IPacking","IPacking_db",84796514434,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,31/07/2023 08:42:21,31/07/2023 08:42:21,Cài đặt,70000,0,22909
159990877,"IPacking","IPacking_db",84795485236,"TTCNTT",COMBO_TT3,NA90,Bán hàng qua API,OK_NA90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 08:36:39,31/07/2023 08:36:39,Cài đặt,90000,0,29455
159990043,"IPacking","IPacking_db",84792526268,"TTCNTT",COMBO_TT3,MBF30,Bán hàng qua API,OK_DK_MBF30_SUCC_VAS,Ðã chốt,Thành công,31/07/2023 08:09:29,31/07/2023 08:09:29,Cài đặt,30000,0,8182
159989613,"IPacking","IPacking_db",84783704511,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 07:58:09,31/07/2023 07:58:09,Cài đặt,90000,0,29455
159988815,"IPacking","IPacking_db",84931282355,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 07:28:18,31/07/2023 07:28:18,Cài đặt,150000,0,49091
159988705,"IPacking","IPacking_db",84909161038,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 07:21:50,31/07/2023 07:21:50,Cài đặt,90000,0,29455
159988463,"IPacking","IPacking_db",84797574604,"TTCNTT",COMBO_TT3,KC120,Bán hàng qua API,OK_KC120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 07:12:27,31/07/2023 07:12:27,Cài đặt,120000,0,39273
159988351,"IPacking","IPacking_db",84933538587,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 07:07:05,31/07/2023 07:07:05,Cài đặt,150000,0,49091
159987935,"IPacking","IPacking_db",84936335346,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,31/07/2023 06:31:59,31/07/2023 06:31:59,Cài đặt,90000,0,29455
159987861,"IPacking","IPacking_db",84904553491,"TTCNTT",COMBO_TT3,NA120,Bán hàng qua API,OK_NA120_DK_SUCC,Ðã chốt,Thành công,31/07/2023 06:24:44,31/07/2023 06:24:44,Cài đặt,120000,0,39273
159987357,"IPacking","IPacking_db",84939808776,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,31/07/2023 03:06:27,31/07/2023 03:06:27,Cài đặt,150000,0,49091
159986969,"IPacking","IPacking_db",84898900872,"TTCNTT",COMBO_TT3,KC120,Bán hàng qua API,OK_KC120_DK_SUCC,Ðã chốt,Thành công,30/07/2023 23:54:48,30/07/2023 23:54:48,Cài đặt,120000,0,39273
159985015,"IPacking","IPacking_db",84904505655,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 21:22:07,30/07/2023 21:22:07,Cài đặt,90000,0,29455
159984503,"IPacking","IPacking_db",84773409628,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 21:10:06,30/07/2023 21:10:06,Cài đặt,70000,0,22909
159984499,"IPacking","IPacking_db",84767935063,"TTCNTT",COMBO_TT3,NA90,Bán hàng qua API,OK_NA90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 21:09:57,30/07/2023 21:09:57,Cài đặt,90000,0,29455
159984211,"IPacking","IPacking_db",84795126650,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 21:02:29,30/07/2023 21:02:29,Cài đặt,150000,0,49091
159983941,"IPacking","IPacking_db",84799422198,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 20:55:41,30/07/2023 20:55:41,Cài đặt,70000,0,22909
159983363,"IPacking","IPacking_db",84937814231,"TTCNTT",COMBO_TT3,KC120,Bán hàng qua API,OK_KC120_DK_SUCC,Ðã chốt,Thành công,30/07/2023 20:42:52,30/07/2023 20:42:52,Cài đặt,120000,0,39273
159982833,"IPacking","IPacking_db",84906744924,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 20:31:48,30/07/2023 20:31:48,Cài đặt,90000,0,29455
159982829,"IPacking","IPacking_db",84938561671,"TTCNTT",COMBO_TT3,NA90,Bán hàng qua API,OK_NA90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 20:31:40,30/07/2023 20:31:40,Cài đặt,90000,0,29455
159982695,"IPacking","IPacking_db",84939717989,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 20:28:13,30/07/2023 20:28:13,Cài đặt,150000,0,49091
159981477,"IPacking","IPacking_db",84763842522,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 19:50:18,30/07/2023 19:50:18,Cài đặt,70000,0,22909
159980521,"IPacking","IPacking_db",84909969863,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 19:28:26,30/07/2023 19:28:26,Cài đặt,90000,0,29455
159980073,"IPacking","IPacking_db",84936511483,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 19:20:02,30/07/2023 19:20:02,Cài đặt,90000,0,29455
159980007,"IPacking","IPacking_db",84793995099,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 19:19:42,30/07/2023 19:19:42,Cài đặt,70000,0,22909
159979957,"IPacking","IPacking_db",84935630641,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 19:19:24,30/07/2023 19:19:24,Cài đặt,70000,0,22909
159979695,"IPacking","IPacking_db",84934500877,"TTCNTT",COMBO_TT3,12PT90,Bán hàng qua API,OK_12PT90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 19:13:27,30/07/2023 19:13:27,Cài đặt,1080000,0,353455
159978935,"IPacking","IPacking_db",84909198126,"TTCNTT",COMBO_TT3,12PT90,Bán hàng qua API,OK_12PT90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 18:55:14,30/07/2023 18:55:14,Cài đặt,1080000,0,353455
159978525,"IPacking","IPacking_db",84933872450,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 18:46:15,30/07/2023 18:46:15,Cài đặt,90000,0,29455
159977263,"IPacking","IPacking_db",84939100604,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 18:00:00,30/07/2023 18:00:00,Cài đặt,90000,0,29455
159976889,"IPacking","IPacking_db",84706549964,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 17:47:27,30/07/2023 17:47:27,Cài đặt,70000,0,22909
159976375,"IPacking","IPacking_db",84704997777,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 17:30:21,30/07/2023 17:30:21,Cài đặt,70000,0,22909
159976105,"IPacking","IPacking_db",84772656554,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 17:20:23,30/07/2023 17:20:23,Cài đặt,70000,0,22909
159976043,"IPacking","IPacking_db",84933550179,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 17:17:48,30/07/2023 17:17:48,Cài đặt,150000,0,49091
159975053,"IPacking","IPacking_db",84931239607,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 16:40:55,30/07/2023 16:40:55,Cài đặt,150000,0,49091
159974989,"IPacking","IPacking_db",84936230266,"TTCNTT",COMBO_TT3,12KC90,Bán hàng qua API,OK_12KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 16:38:58,30/07/2023 16:38:58,Cài đặt,1080000,0,0
159974919,"IPacking","IPacking_db",84898310279,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 16:36:21,30/07/2023 16:36:21,Cài đặt,150000,0,49091
159974579,"IPacking","IPacking_db",84904967766,"TTCNTT",COMBO_TT3,12KC150,Bán hàng qua API,OK_12KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 16:23:34,30/07/2023 16:23:34,Cài đặt,1800000,0,589091
159974033,"IPacking","IPacking_db",84778866339,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 16:04:18,30/07/2023 16:04:18,Cài đặt,90000,0,29455
159973995,"IPacking","IPacking_db",84937534001,"TTCNTT",COMBO_TT3,NA120,Bán hàng qua API,OK_NA120_DK_SUCC,Ðã chốt,Thành công,30/07/2023 16:02:23,30/07/2023 16:02:23,Cài đặt,120000,0,39273
159973117,"IPacking","IPacking_db",84903837216,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 15:30:51,30/07/2023 15:30:51,Cài đặt,70000,0,22909
159973057,"IPacking","IPacking_db",84902342888,"TTCNTT",COMBO_TT3,12KC150,Bán hàng qua API,OK_12KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 15:28:50,30/07/2023 15:28:50,Cài đặt,1800000,0,589091
159972783,"IPacking","IPacking_db",84936207176,"TTCNTT",COMBO_TT3,KC150,Bán hàng qua API,OK_KC150_DK_SUCC,Ðã chốt,Thành công,30/07/2023 15:17:35,30/07/2023 15:17:35,Cài đặt,150000,0,49091
159972533,"IPacking","IPacking_db",84902703146,"TTCNTT",COMBO_TT3,KC90,Bán hàng qua API,OK_KC90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 15:08:55,30/07/2023 15:08:55,Cài đặt,90000,0,29455
159972387,"IPacking","IPacking_db",84904042526,"TTCNTT",COMBO_TT3,12PT120,Bán hàng qua API,OK_XPT120_DK_SUCC,Ðã chốt,Thành công,30/07/2023 15:02:59,30/07/2023 15:02:59,Cài đặt,1440000,0,471273
159972353,"IPacking","IPacking_db",84776585730,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 15:01:50,30/07/2023 15:01:50,Cài đặt,70000,0,22909
159971537,"IPacking","IPacking_db",84938370147,"TTCNTT",COMBO_TT3,NA120,Bán hàng qua API,OK_NA120_DK_SUCC,Ðã chốt,Thành công,30/07/2023 14:31:19,30/07/2023 14:31:19,Cài đặt,120000,0,39273
159971515,"IPacking","IPacking_db",84902824392,"TTCNTT",COMBO_TT3,NA90,Bán hàng qua API,OK_NA90_DK_SUCC,Ðã chốt,Thành công,30/07/2023 14:29:30,30/07/2023 14:29:30,Cài đặt,90000,0,29455
159970803,"IPacking","IPacking_db",84708241368,"TTCNTT",COMBO_TT3,NA70,Bán hàng qua API,OK_NA70_DK_SUCC,Ðã chốt,Thành công,30/07/2023 13:58:12,30/07/2023 13:58:12,Cài đặt,70000,0,22909
